Company,Parent Company,Location,City,County,Address,Zip,Project Description,NAICS Industry Code,Year,Subsidy Value,Megadeal Contribution,Subsidy Value Adjusted For Megadeal,Program Name,Awarding Agency,Type of Subsidy,Number of Jobs or Training Slots,Wage Data,Wage Data Type,Investment Data,Source of Data,Notes,Subsidy Source,CFDA Program Number,Loan Value,State in Which Facility Is Located,Major Industry of Parent
455 North Franklin Facility,,New York,SYRACUSE,,"455 North Franklin, LLC",13202,Refurbish and transfer closed factory into state of the art office space. Salary information not gathered on this project.,,2009,"$177,504 ",$0 ,"$177,504 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,1,,,"$6,000,000 ",http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs number is total of estimated created and estimated retained (including construction jobs).,local,,$0 , ," """""
455 North Franklin Facility,,New York,Syracuse,Onondaga,100 Clinton Square,13202,,,2005,"$177,441 ",$0 ,"$177,441 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,200,,,"$6,000,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Hotel Skyler Project,,New York,SYRACUSE,,601 S Crouse Avenue & Harrison St,13202,Renovation of existing Temple Adath Yeshurun into a 58 unit hotel serving the surrounding University and hospitals.  It will use variety of green building strategies resulting in LEED platinum certification.  Salary information not gathered on this project. To create 34 new jobs (12 part time and 22 full time).,,2013,"$175,852 ",$0 ,"$175,852 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
Genesee Armory LLC,,New York,SYRACUSE,,1055 E. Genesee St.,13210,"Renovations to the former National Guard Armory at 1055 E. Genesee St to turn the vacant structure into a 75,052 sq. ft., 4 level building to create 133 student oriented residental units housing 302 collegeage students. Onsite parking for 210 cars will be provided as well as a small retail outlet and cafe for the benefits of the residents. Assistance from the agency will take the form of sales and compensating use tax and mortgage recording tax. At project completion, 10 full time jobs are expected to be created.Salary data was not provided for this project.",,2011,"$175,000 ",$0 ,"$175,000 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
Rapid Response Monitoring Services Inc.,,New York,SYRACUSE,,400 West Division Street,13204,"Finance, Insurance and Real Estate",,2014,"$174,837 ",$0 ,"$174,837 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate,,,,,http://osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
"Bitzer Scroll, Inc.",,New York,SYRACUSE,,6055 Court Street Road,13206,Acquisition and renovation of former John Deere warehouse to accommodate Bitzer's R&D engineering laboratory and manufacturing operations.,,2013,"$169,540 ",$0 ,"$169,540 ",Industrial Development Agencies,Onondaga County Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
"Bitzer Scroll, Inc.",,New York,SYRACUSE,,6055 Court Street Road,13206,Acquisition and renovation of former John Deere warehouse to accommodate Bitzer's R&D engineering laboratory and manufacturing operations.,,2012,"$168,868 ",$0 ,"$168,868 ",Industrial Development Agencies,Onondaga County Industrial Development Agency,tax credit/rebate; property tax abatement,created: 56; retained: 81,salary created: 65275; salary retained: 65275,estimated salary,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs and wages are estimates.,local,,$0 , ," """""
Finger Lakes Railway,,New York,SYRACUSE,,Railroad,13202,Acquisition of the Onondaga County portion of the Geneva Cluster Railway from CONRAIL.,,2009,"$168,207 ",$0 ,"$168,207 ",Industrial Development Agencies,Onondaga County Industrial Development Agency,tax credit/rebate; property tax abatement,48,,,"$190,677 ",http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs number is total of estimated created and estimated retained (including construction jobs).,local,,$0 , ," """""
Finger Lakes Railway,,New York,SYRACUSE,,Railroad,13202,Acquisition of the Onondaga County portion of the Geneva Cluster Railway from CONRAIL.,,2012,"$166,421 ",$0 ,"$166,421 ",Industrial Development Agencies,Onondaga County Industrial Development Agency,tax credit/rebate; property tax abatement,created: 10; retained: 0,salary created: 0; salary retained: 0,estimated salary,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs and wages are estimates.,local,,$0 , ," """""
455 North Franklin Facility,,New York,Syracuse,Onondaga,100 Clinton Square,13202,,,2004,"$165,626 ",$0 ,"$165,626 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,200,,,"$6,000,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Finger Lakes Railway,,New York,SYRACUSE,,Railroad,13202,"Transportation, Communication, Electric, Gas and Sanitary Services",,2014,"$162,380 ",$0 ,"$162,380 ",Industrial Development Agencies,Onondaga County Industrial Development Agency,tax credit/rebate,,,,,http://osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
455 North Franklin Facility,,New York,Syracuse,Onondaga,100 Clinton Square,13202,,,2003,"$161,688 ",$0 ,"$161,688 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,400,,,"$6,000,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
The Hill Haven Apartments Project,,New York,SYRACUSE,,4001 East Genesee Street,13214,Renovation of closed nursing home into luxury apartments. Salary information not gathered on this project.,,2011,"$160,326 ",$0 ,"$160,326 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
Finger Lakes Railway,,New York,SYRACUSE,,Railroad,13202,Acquisition of the Onondaga County portion of the Geneva Cluster Railway from CONRAIL.,,2011,"$158,444 ",$0 ,"$158,444 ",Industrial Development Agencies,Onondaga County Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
Finger Lakes Railway,,New York,SYRACUSE,,Railroad,13202,Acquisition of the Onondaga County portion of the Geneva Cluster Railway from CONRAIL.,,2013,"$156,288 ",$0 ,"$156,288 ",Industrial Development Agencies,Onondaga County Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
455 North Franklin Facility,,New York,SYRACUSE,,100 Clinton Square,13202,Refurbish and transfer closed factory into state of the art office space. Salary information not gathered on this project.,,2010,"$155,751 ",$0 ,"$155,751 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
"Basin Associates, LLC. (Mr. Brian F. Maher)",,New York,Syracuse,Onondaga,250 S. Clinton Street,13202,,,2003,"$155,250 ",$0 ,"$155,250 ",Industrial Development Agencies,Onondaga Co. IDA,tax credit/rebate; property tax abatement,0,,,,unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
"Masonic Lofts Project, Inc.",,New York,SYRACUSE,,136 East Genesee Street Suite 201,13202,,,2007,"$152,020 ",$0 ,"$152,020 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,3,,,"$5,763,543 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Franklin Lofts,,New York,Syracuse,Onondaga,221 West Division Street,13204,,,2003,"$149,990 ",$0 ,"$149,990 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,0,,,"$8,000,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Finger Lakes Railway,,New York,SYRACUSE,,Railroad,13202,Acquisition of the Onondaga County portion of the Geneva Cluster Railway from CONRAIL.,,2010,"$148,782 ",$0 ,"$148,782 ",Industrial Development Agencies,Onondaga County Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
Richfield Syracuse Hotel Project,,New York,SYRACUSE,,701-05 Genesee St E & Almond Ave,13210,"Renovations to former Renaissance Hotel. Salary information not gathered on this project. No PILOT only SIDA assistance is in the form of mortgage and sales tax exemptions, set to expire at the end of 2011 per J. Delaney of ED office. Property does have a preexisting 485e exemption.",,2010,"$145,004 ",$0 ,"$145,004 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
Seminary Commons LLC,,New York,SYRACUSE,,120 East Washington Street,13202,"The project consist of (i) the acquisition of 3.38 acres of land located at 2337 Sminary Street, City of Auburn together with 38,000 square foot building thereon (ii) renovation and equipping by the company as agent of the authority on the land of existing improvements into a retail and commercial center (iii) the acquisition and installation in and around the existing improvements and certain improvements of machinery, equipment and other tangible personal property",,2012,"$143,260 ",$0 ,"$143,260 ",Industrial Development Agencies,Auburn Industrial Development Agency,tax credit/rebate; property tax abatement,created: 70; retained: 0,salary created: 0; salary retained: 0,estimated salary,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs and wages are estimates.,local,,$0 , ," """""
Carousel Center Facility/DestiNY USA,Pyramid Companies,New York,SYRACUSE,,4 Clinton Square,13202,Expand and improve shopping mall.  Salary information not gathered on this project.,,2012,"$141,813 ",$0 ,"$141,813 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,created: 2800; retained: 0,salary created: 0; salary retained: 0,estimated salary,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs and wages are estimates.,local,,$0 , ," ""real estate"""
PRRC Inc,,New York,SYRACUSE,,1625-1641 Erie Boulevard East,13210,"PRRC, Inc.  will furnish and equip a 36,360 sq. ft. new construction facility where it will open a limited assortment PriceRite grocery store operated on the same principals as its competition, Aldis and SaveALot. PRRC Inc. based in Edison New Jersey operates a 50 plus store grocery chain in the Northeast and is a fully owned subsidiary of Wakefern Food Corporation. This Project will be the location of its first store in CNY. The Company is requesting benefits from the Agency in the form of exemptions from sales and compensating use tax. Total cost of the Project is anticipated to be $1,900,000. The Company reports that it anticipates 35 full time and 115 part time employment positions will be created in the first two years of operation. ",,2012,"$141,783 ",$0 ,"$141,783 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,created: 87; retained: 0,salary created: 0; salary retained: 0,estimated salary,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs and wages are estimates.,local,,$0 , ," """""
"Pioneer Midler Avenue, LLC",,New York,Syracuse,Onondaga,621 South Midler Avenue,, C734103 Midler City Industrial Park ,,2008,"$141,437 ",$0 ,"$141,437 ",Brownfield Cleanup Program Tax Credit,Department of Taxation and Finance,tax credit/rebate,,,,"$1,414,368 ",http://www.tax.ny.gov/research/stats/statistics/special_interest_reports/brownfield_credit/brownfield_credit_reports.htm,subsidy value is amount claimed; investment amount is actual,state,,$0 , ," """""
"St. Patrick's Lofts, LLC",,New York,SYRACUSE,,300 North Lowell Ave,13204,"Acquisition and conversion of a vacant 42,745 sq. ft. former school to be converted into 22market rate apartments and 10,400 sq. ft. of commercial space with 38 onsite parking spaces. ",,2013,"$140,746 ",$0 ,"$140,746 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
455 North Franklin Facility,,New York,SYRACUSE,,"455 North Franklin, LLC",13202,Refurbish and transfer closed factory into state of the art office space.  Salary information not gathered on this project.,,2013,"$139,923 ",$0 ,"$139,923 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
455 North Franklin Facility,,New York,SYRACUSE,,100 Clinton Square,13202,Refurbish and transfer closed factory into state of the art office space. Salary information not gathered on this project.,,2011,"$138,718 ",$0 ,"$138,718 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
"Auburn Real Estate Company, Inc. and Auburn Community Hotel LP",,New York,SYRACUSE,,250 Clinton Street,13202,"The project consist of (i) the acquisition of approx 2.64 acres of land and the structures thereon near State Street, Water Street and Arterial West in the City of Auburn, (ii) the construction thereon of a building of approx 71,000 square feet for a 92 romm Hilton Garden Inn, (iii) the equipping of the building for use as a hotel and conference center",,2012,"$138,602 ",$0 ,"$138,602 ",Industrial Development Agencies,Auburn Industrial Development Agency,tax credit/rebate; property tax abatement,created: 49; retained: 0,salary created: 0; salary retained: 0,estimated salary,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs and wages are estimates.,local,,$0 , ," """""
"Auburn Real Estate Company, Inc. and Auburn Community Hotel LP",,New York,SYRACUSE,,250 Clinton Street,13202,"The project consist of (i) the acquisition of approx 2.64 acres of land and the structures thereon near State Street, Water Street and Arterial West in the City of Auburn, (ii) the construction thereon of a building of approx 71,000 square feet for a 92 romm Hilton Garden Inn, (iii) the equipping of the building for use as a hotel and conference center",,2013,"$137,843 ",$0 ,"$137,843 ",Industrial Development Agencies,Auburn Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
Franklin Lofts,,New York,Syracuse,Onondaga,221 West Division Street,13204,,,2006,"$136,197 ",$0 ,"$136,197 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,2,,,"$8,000,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Clinton Street Soma Project,,New York,SYRACUSE,,212 W Division Street,13202,Salary dollar information not accumulated for this project. Project was still under construction as od 12/31/2009.,,2009,"$134,547 ",$0 ,"$134,547 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,4,,,"$11,466,100 ",http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs number is total of estimated created and estimated retained (including construction jobs).,local,,$0 , ," """""
"Waterfront Associates, LLC",,New York,Syracuse,Erie,250 South Clinton Street-Suite 200,13202,,,2003,"$132,237 ",$0 ,"$132,237 ",Industrial Development Agencies,Erie Co. IDA,tax credit/rebate; property tax abatement,168,,,"$13,999,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
432 North Franklin Street Facility,,New York,SYRACUSE,,432 North Franklin Street,13204,,,2007,"$123,348 ",$0 ,"$123,348 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,100,,,"$4,400,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
"Syracuse Property Partners, LLC",,New York,SYRACUSE,,3063 Court Street,13208,"Construction of a 250,000 sq. ft. warehouse and distribution facility. Tax abatement and employment numbers reported with Southern Wine & Spirits project #31010604B.",,2009,"$123,198 ",$0 ,"$123,198 ",Industrial Development Agencies,Onondaga County Industrial Development Agency,tax credit/rebate; property tax abatement,0,,,"$14,591,250 ",http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs number is total of estimated created and estimated retained (including construction jobs).,local,,$0 , ," """""
Atrium Facility,,New York,SYRACUSE,,PO Box 11297,13218,,,2007,"$119,479 ",$0 ,"$119,479 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,200,,,"$6,600,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
Genesee Armory LLC,,New York,SYRACUSE,,1055 E. Genesee St.,13210,"Renovations to the former National Guard Armory at 1055 E. Genesee St to turn the vacant structure into a 75,052 sq. ft., 4 level building to create 133 student oriented residental units housing 302 collegeage students.  Onsite parking for 210 cars will be provided as well as a small retail outlet and cafe for the benefits of the residents. Assistance from the agency will take the form of sales and compensating use tax and mortgage recording tax.  At project completion, 10 full time jobs are expected to be created.Salary data was not provided for this project.",,2012,"$119,200 ",$0 ,"$119,200 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,created: 10; retained: 0,salary created: 0; salary retained: 0,estimated salary,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs and wages are estimates.,local,,$0 , ," """""
"Franklin Lofts, LLC",,New York,SYRACUSE,,221 West Division Street,13207,Renovation of vacant building into apartments.  Salary information not gathered on this project.,,2013,"$117,438 ",$0 ,"$117,438 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
Atrium Facility,,New York,Syracuse,Onondaga,c/o Tony Fiorito PO Box 11297,13218,,,2004,"$117,257 ",$0 ,"$117,257 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,200,,,"$6,600,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
RICCELLI ENTERPRISES,,New York,SYRACUSE,Onondaga,PO BOX 6418,13217,,,2006,"$116,248 ",$0 ,"$116,248 ",Industrial Development Agencies,Onondaga Co. IDA,tax credit/rebate; property tax abatement,487,,,"$2,976,692 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
"Waterfront Associates, LLC",,New York,Syracuse,Erie,250 South Clinton Street-Suite 200,13202,,,2005,"$115,261 ",$0 ,"$115,261 ",Industrial Development Agencies,Erie County IDA,tax credit/rebate; property tax abatement,168,,,"$13,999,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
WILLOW STREET LOFTS,,New York,SYRACUSE,Onondaga,221 DIVISION STREET,13204,,,2005,"$115,000 ",$0 ,"$115,000 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,13,,,"$5,867,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
"Franklin Lofts, LLC",,New York,SYRACUSE,,221 West Division Street,13207,"Finance, Insurance and Real Estate",,2014,"$114,869 ",$0 ,"$114,869 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate,,,,,http://osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. See original source for jobs and wage information.,local,,$0 , ," """""
432 North Franklin Street Facility,,New York,Syracuse,Onondaga,221 West Division Street,13204,,,2004,"$112,396 ",$0 ,"$112,396 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,100,,,"$4,400,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
"East Side Business Center, LLC",,New York,SYRACUSE,,1201 East Fayette Street,13202,Acquisition and renovation of business center. Salary information not gathered on this project.,,2010,"$112,366 ",$0 ,"$112,366 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,,,,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. ,local,,$0 , ," """""
AXA Towers Renovation,AXA,New York,Syracuse,,,,,,2008,"$112,290 ",$0 ,"$112,290 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,0,,,"$7,615,000 ",spreadsheet posted by Office of the State Comptroller at http://www.osc.state.ny.us/localgov/pubs/research/idaprojects2008.xls,subsidy value is amount awarded; jobs and investment figures are projected,local,,$0 , ," ""financial services"""
"MAC Source Communications, Inc",,New York,SYRACUSE,,509 Erie blvd East,13202,"Renovation and conversion of the building at 509 Erie Blvd West (a former Byrne Dairy warehouse) into a commercial office and warehouse facility.  The 20,000.00 sq ft building sits on a 2.5 acre site and was vacant.Salary information not collected on this project.  ",,2012,"$110,824 ",$0 ,"$110,824 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,created: 8; retained: 137,salary created: 0; salary retained: 0,estimated salary,,http://www.osc.state.ny.us/localgov/datanstat/findata/index_choice.htm,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs and wages are estimates.,local,,$0 , ," """""
Atrium Facility,,New York,Syracuse,Onondaga,c/o Tony Fiorito PO Box 11297,13218,,,2005,"$110,139 ",$0 ,"$110,139 ",Industrial Development Agencies,Syracuse IDA,tax credit/rebate; property tax abatement,200,,,"$6,600,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,local,,$0 , ," """""
"East Side Business Center, LLC",,New York,Syracuse,,,,,,2008,"$108,676 ",$0 ,"$108,676 ",Industrial Development Agencies,Syracuse Industrial Development Agency,tax credit/rebate; property tax abatement,143,,,"$1,415,699 ",spreadsheet posted by Office of the State Comptroller at http://www.osc.state.ny.us/localgov/pubs/research/idaprojects2008.xls,subsidy value is amount awarded; jobs and investment figures are projected,local,,$0 , ," """""
